src_ip,src_port,dst_ip,host,url,user_agent,response_size,status_code,attack,anomaly
3,51220,10,3,972,29,307,404,1,1
3,34694,6,13,400,21,570,404,1,1
3,35988,9,2,158,84,1340,403,1,1
2,58922,10,3,940,84,2092,403,1,1
3,43292,9,2,363,39,0,403,1,1
3,44366,9,2,510,68,301,400,1,1
2,40300,7,14,210,84,2121,403,1,1
2,39612,9,2,350,84,1443,403,1,1
2,55264,9,2,123,84,805,403,1,1
2,35104,10,3,846,84,1191,403,1,1
2,57326,6,13,487,28,570,404,1,1
2,58568,11,4,705,84,1390,403,1,1
2,57764,6,13,16,84,168,404,1,1
2,42520,11,4,731,84,1035,414,1,1
2,43362,7,14,587,9,0,400,1,1
3,47536,9,2,233,84,743,403,1,1
2,40532,6,13,124,84,168,404,1,1
3,36420,9,2,390,39,301,400,1,1
2,59136,10,3,872,84,1025,403,1,1
2,38908,10,3,862,84,2759,403,1,1
2,36782,11,4,648,84,837,403,1,1
3,37238,11,4,703,84,1615,403,1,1
2,53768,11,4,744,29,980,400,1,1
3,56102,6,13,537,71,570,404,1,1
3,47958,9,2,303,84,872,403,1,1
3,56350,9,2,572,28,301,400,1,1
3,52640,6,13,502,0,168,404,1,1
2,60150,9,2,102,84,1065,403,1,1
2,46136,10,3,907,84,1194,403,1,1
2,41026,11,4,733,84,1930,403,1,1
3,59730,6,13,8,43,168,404,1,1
3,33946,10,3,953,4,369,404,1,1
3,45728,6,13,574,31,570,404,1,1
2,34018,9,2,456,38,301,400,1,1
3,34410,7,14,187,84,1097,403,1,1
3,43602,10,3,978,18,303,404,1,1
3,60770,9,2,511,24,301,400,1,1
2,39472,9,2,128,84,1367,403,1,1
3,41626,11,4,814,60,980,400,1,1
3,46034,11,4,789,27,980,400,1,1
2,44044,6,13,213,84,168,404,1,1
3,46250,11,4,707,84,872,403,1,1
3,52166,11,4,725,84,1678,403,1,1
3,60994,6,13,69,84,168,404,1,1
3,42850,6,13,321,84,168,404,1,1
3,45434,10,3,983,53,306,404,1,1
2,54696,7,14,18,84,756,403,1,1
2,42414,11,4,627,84,1109,403,1,1
2,57986,11,4,803,84,1294,403,1,1
3,44864,21,14,111,84,1198,403,1,1
2,59068,9,2,52,84,1194,403,1,1
